City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,5.01,95,100,18.87,TF,1727745335
1,tegueste,28.5167,-16.3167,19.81,87,75,7.72,ES,1727745336
2,princeville,45.7668,-61.2985,14.06,89,98,1.34,CA,1727745337
3,puerto natales,-51.7236,-72.4875,2.9,88,100,5.17,CL,1727745338
4,gaspe,48.8334,-64.4819,8.29,73,1,2.45,CA,1727745339
5,abepura,-2.6333,140.5833,31.45,58,20,2.06,ID,1727745342
6,bilibino,68.0546,166.4372,0.21,94,100,0.86,RU,1727745343
7,tolanaro,-25.0319,46.9987,20.47,91,88,4.39,MG,1727745344
8,dhanera,24.5167,72.0167,26.66,85,0,2.16,IN,1727745345
9,mugia,43.1041,-9.2179,19.95,98,100,7.91,ES,1727745346
10,port mathurin,-19.6833,63.4167,22.33,78,2,9.59,MU,1727745347
11,bodaybo,57.8506,114.1933,3.29,96,100,2.89,RU,1727745348
12,luena,-11.7833,19.9167,17.84,76,97,2.05,AO,1727745349
13,edinburgh of the seven seas,-37.0676,-12.3116,12.75,79,5,4.53,SH,1727745350
14,waitangi,-43.9535,-176.5597,12.68,75,96,3.13,NZ,1727745351
15,banda aceh,5.5577,95.3222,27.37,80,100,2.36,ID,1727745353
16,vernon,50.2581,-119.2691,14.4,44,100,0.45,CA,1727745354
17,praia,14.9215,-23.5087,26.3,89,40,3.09,CV,1727745355
18,lihue,21.9789,-159.3672,28.77,72,100,3.6,US,1727745213
19,loikaw,19.6742,97.2094,21.43,98,100,1.15,MM,1727745357
20,al bawiti,28.3492,28.8659,21.62,60,0,4.03,EG,1727745358
21,magistral'nyy,56.1725,107.4458,3.57,97,100,3.43,RU,1727745359
22,bethel,41.3712,-73.414,16.2,86,0,0.45,US,1727745162
23,puerto ayora,-0.7393,-90.3518,20.31,93,98,3.58,EC,1727745361
24,khanty-mansiysk,61.0042,69.0019,10.06,66,0,3.0,RU,1727745363
25,ribeira grande,38.5167,-28.7,24.32,96,100,7.15,PT,1727745364
26,adamstown,-25.066,-130.1015,19.49,65,100,4.46,PN,1727745365
27,fale old settlement,-9.3852,-171.2468,27.71,77,100,3.86,TK,1727745366
28,ust-nera,64.5667,143.2,-1.25,73,78,1.4,RU,1727745367
29,blackmans bay,-43.0167,147.3167,15.07,46,7,2.68,AU,1727745368
30,margate,51.3813,1.3862,12.15,83,100,1.34,GB,1727745369
31,kodiak,57.79,-152.4072,10.73,58,20,5.14,US,1727745370
32,demre,36.2537,29.9777,20.93,54,94,1.6,TR,1727745371
33,invercargill,-46.4,168.35,13.9,71,100,2.68,NZ,1727745372
34,luderitz,-26.6481,15.1594,11.56,58,0,6.63,NA,1727745373
35,port douglas,-16.4833,145.4667,25.4,66,5,2.3,AU,1727745374
36,ulaangom,49.9811,92.0667,4.3,47,67,0.73,MN,1727745377
37,nabisar,25.0685,69.6419,26.82,77,0,5.21,PK,1727745378
38,ma'ili,21.4219,-158.1803,28.39,75,100,4.12,US,1727745379
39,codrington,-38.2667,141.9667,14.76,68,9,7.15,AU,1727745380
40,whitehorse,60.7161,-135.0538,6.17,56,100,4.47,CA,1727745219
41,constantia,44.1833,28.65,9.38,92,100,13.4,RO,1727745382
42,pascagoula,30.3658,-88.5561,26.0,78,0,0.0,US,1727745383
43,kalispell,48.1958,-114.3129,14.02,30,0,4.12,US,1727745385
44,saint-joseph,-21.3667,55.6167,19.21,75,17,5.5,RE,1727745386
45,sao vicente,-23.9631,-46.3919,22.75,26,0,0.89,BR,1727745387
46,qaqortoq,60.7167,-46.0333,3.82,97,100,1.36,GL,1727745388
47,stanley,54.868,-1.6985,11.27,95,75,5.14,GB,1727745389
48,watampone,-4.5386,120.3279,29.98,62,100,4.7,ID,1727745390
49,celestun,20.8667,-90.4,25.73,90,100,4.33,MX,1727745391
50,gerze,41.8036,35.2011,16.03,77,89,3.64,TR,1727745392
51,manhush,47.0558,37.3107,16.31,56,0,9.54,UA,1727745393
52,carnarvon,-24.8667,113.6333,21.26,68,0,5.06,AU,1727745394
53,iqaluit,63.7506,-68.5145,3.65,81,100,3.19,CA,1727745395
54,jacksonville,30.3322,-81.6556,27.22,91,40,1.54,US,1727745334
55,tura,25.5198,90.2201,24.61,97,100,1.55,IN,1727745398
56,grytviken,-54.2811,-36.5092,-3.02,73,15,4.68,GS,1727745399
57,susuman,62.7833,148.1667,-1.51,53,74,1.03,RU,1727745400
58,hamilton,39.1834,-84.5333,21.56,92,100,1.54,US,1727745401
59,kapuskasing,49.4169,-82.4331,13.84,64,99,3.88,CA,1727745402
60,udachny,66.4167,112.4,0.38,98,100,2.23,RU,1727745403
61,vila franca do campo,37.7167,-25.4333,24.23,94,34,4.73,PT,1727745404
62,carbonear,47.7332,-53.2148,12.97,92,100,3.54,CA,1727745405
63,grybow,49.6244,20.948,4.82,78,0,1.08,PL,1727745406
64,ketchikan,55.3422,-131.6461,11.3,37,100,12.86,US,1727745407
65,ilulissat,69.2167,-51.1,4.01,93,100,3.09,GL,1727745410
66,ploneour-lanvern,47.9,-4.2833,12.18,100,100,2.06,FR,1727745411
67,olonkinbyen,70.9221,-8.7187,-1.44,64,100,5.72,SJ,1727745412
68,minas de marcona,-15.2119,-75.1103,12.14,91,100,5.84,PE,1727745413
69,keflavik,64.0049,-22.5624,4.24,81,100,3.6,IS,1727745414
70,albany,42.6001,-73.9662,18.58,74,100,1.58,US,1727745415
71,alice springs,-23.7,133.8833,19.75,24,100,7.2,AU,1727745192
72,east london,-33.0153,27.9116,12.66,55,24,10.13,ZA,1727745417
73,okhotsk,59.3833,143.3,6.17,48,98,1.06,RU,1727745418
74,yeppoon,-23.1333,150.7333,22.99,75,47,7.96,AU,1727745420
75,izhevsk,56.85,53.2333,9.51,78,23,0.45,RU,1727745402
76,tamiahua,21.2667,-97.45,25.66,77,9,2.11,MX,1727745422
77,teays valley,38.4501,-81.9293,20.51,82,32,1.52,US,1727745423
78,boise,43.6135,-116.2035,19.3,23,0,4.12,US,1727745169
79,papatowai,-46.5619,169.4708,16.08,44,97,3.02,NZ,1727745425
80,gosaba,22.165,88.7998,28.02,87,100,1.82,IN,1727745426
81,coquimbo,-29.9533,-71.3436,11.85,74,0,1.03,CL,1727745427
82,tacna,-18.0056,-70.2483,13.11,94,100,2.06,PE,1727745428
83,tommot,58.9564,126.2925,2.55,96,100,5.47,RU,1727745431
84,souillac,-20.5167,57.5167,22.21,78,40,5.66,MU,1727745432
85,cabo san lucas,22.8909,-109.9124,28.17,69,0,2.06,MX,1727745363
86,enewetak,11.3474,162.3373,29.02,75,14,5.2,MH,1727745435
87,aasiaat,68.7098,-52.8699,2.96,82,91,1.39,GL,1727745436
88,thunder bay,48.4001,-89.3168,15.88,81,9,1.86,CA,1727745438
89,tiksi,71.6872,128.8694,-5.04,92,100,1.73,RU,1727745439
90,pudozh,61.8099,36.5345,2.15,86,0,0.39,RU,1727745441
91,prince rupert,54.3161,-130.3201,11.83,76,100,22.64,CA,1727745442
92,alofi,-19.0595,-169.9187,25.94,61,75,7.72,NU,1727745443
93,manavalakurichi,8.1333,77.3,24.91,97,65,1.61,IN,1727745444
94,argo,37.6333,22.7333,18.34,71,0,1.28,GR,1727745306
95,la passe,45.5549,-0.8967,15.98,87,99,1.51,FR,1727745447
96,gadzhiyevo,69.2551,33.3362,1.63,78,89,6.22,RU,1727745448
97,fortaleza,-3.7227,-38.5247,27.82,86,20,8.23,BR,1727745449
98,gassol,8.5333,10.4667,23.37,95,89,2.13,NG,1727745450
99,fort mcmurray,56.7268,-111.381,8.78,43,0,2.73,CA,1727745396
100,fort bragg,35.139,-79.006,23.79,94,100,2.06,US,1727745453
101,isafjordur,66.0755,-23.124,2.49,89,100,5.84,IS,1727745454
102,nueva gerona,21.8833,-82.8,28.46,80,99,4.17,CU,1727745455
103,thompson,55.7435,-97.8558,4.09,93,100,9.26,CA,1727745456
104,nuuk,64.1835,-51.7216,2.34,100,100,11.83,GL,1727745457
105,happy valley-goose bay,53.3168,-60.3315,6.57,77,4,0.64,CA,1727745458
106,el bauga,18.262,33.9081,31.41,40,5,4.84,SD,1727745459
107,cartagena,10.3997,-75.5144,26.79,83,40,2.06,CO,1727745460
108,hopelchen,19.7667,-89.85,23.57,99,82,1.68,MX,1727745461
109,longyearbyen,78.2186,15.6401,-2.09,100,20,3.6,SJ,1727745462
110,caleta de carquin,-11.0925,-77.6267,17.7,87,93,5.29,PE,1727745463
111,nar'yan-mar,67.6713,53.087,4.26,73,100,12.09,RU,1727745464
112,avarua,-21.2078,-159.775,24.03,60,40,2.57,CK,1727745466
113,chernyshevskiy,63.0128,112.4714,3.07,98,100,4.06,RU,1727745467
114,hawaiian paradise park,19.5933,-154.9731,27.73,76,40,4.12,US,1727745468
115,ushuaia,-54.8,-68.3,-4.58,96,100,1.99,AR,1727745469
116,wailua homesteads,22.0669,-159.378,28.44,77,100,3.6,US,1727745470
117,brush,40.2589,-103.6238,16.57,31,0,5.14,US,1727745471
118,northam,51.0333,-4.2167,12.01,92,21,4.49,GB,1727745472
119,karachi,24.9056,67.0822,27.9,78,40,4.12,PK,1727745473
120,choma,-16.8065,26.9531,22.54,20,53,5.13,ZM,1727745474
121,nova sintra,14.8667,-24.7167,26.55,87,15,3.83,CV,1727745475
122,zemio,5.0314,25.1361,20.08,98,100,0.75,CF,1727745476
123,aoulef,26.9667,1.0833,33.2,20,0,7.96,DZ,1727745477
124,berdigestyakh,62.0989,126.6992,1.43,100,100,0.77,RU,1727745479
125,saryozek,44.3583,77.9753,10.14,16,24,1.32,KZ,1727745480
126,bijie,27.3125,105.2942,9.08,92,100,5.84,CN,1727745481
127,sretensk,52.2453,117.7093,4.22,47,34,2.4,RU,1727745482
128,hong kong,22.2855,114.1577,32.2,65,79,4.02,HK,1727745193
129,acarau,-2.8856,-40.12,25.42,80,8,8.63,BR,1727745484
130,eppingen,49.1369,8.9103,14.89,78,100,3.12,DE,1727745485
131,port shepstone,-30.7414,30.455,12.86,75,0,4.47,ZA,1727745486
132,hastings,50.8552,0.5729,11.55,40,78,10.52,GB,1727745487
133,lebu,-37.6167,-73.65,9.21,89,57,2.96,CL,1727745488
134,ambodifotatra,-16.9833,49.85,23.83,72,2,4.62,MG,1727745489
135,amahai,-3.3333,128.9167,27.22,80,95,1.06,ID,1727745490
136,mount isa,-20.7333,139.5,31.87,19,0,5.14,AU,1727745492
137,margaret river,-33.95,115.0667,15.89,67,99,1.88,AU,1727745302
138,carrick-on-suir,52.3492,-7.4131,10.31,95,36,2.95,IE,1727745494
139,nemuro,43.3236,145.575,18.13,87,29,5.37,JP,1727745495
140,santo antonio do ica,-3.1022,-67.9397,25.29,69,8,0.64,BR,1727745496
141,rongelap,11.1635,166.8941,28.44,76,100,4.07,MH,1727745497
142,bandundu,-3.3167,17.3667,23.86,84,7,1.43,CD,1727745498
143,port elizabeth,-33.918,25.5701,10.17,78,0,9.77,ZA,1727745499
144,hobyo,5.3505,48.5268,24.7,85,38,5.54,SO,1727745500
145,diego de almagro,-26.3667,-70.05,15.92,43,4,1.33,CL,1727745501
146,tosno,59.54,30.8775,3.03,83,98,1.65,RU,1727745504
147,ta`u,-14.2336,-169.5144,24.8,86,100,3.98,AS,1727745505
148,crucecita,-28.95,-58.9833,29.33,39,5,4.49,AR,1727745506
149,umba,66.6871,34.3429,3.92,81,94,6.55,RU,1727745507
150,blagoveshchensk,50.2667,127.5333,6.34,49,20,2.0,RU,1727745508
151,remire-montjoly,4.9167,-52.2667,27.02,83,0,2.06,GF,1727745509
152,mayya,61.7333,130.2811,1.5,99,100,0.5,RU,1727745510
153,college,64.8569,-147.8028,12.99,34,20,3.6,US,1727745511
154,weno,7.4515,151.8468,30.97,79,75,3.6,FM,1727745512
155,hasaki,35.7333,140.8333,24.0,95,100,4.89,JP,1727745513
156,ringkobing,56.0901,8.244,9.99,71,20,6.17,DK,1727745514
157,bredasdorp,-34.5322,20.0403,8.9,71,38,2.66,ZA,1727745515
158,ha'il,27.5219,41.6907,23.01,27,0,1.03,SA,1727745517
159,puerto baquerizo moreno,-0.9,-89.6,20.07,87,100,4.93,EC,1727745518
160,antofagasta,-23.65,-70.4,15.6,82,47,3.38,CL,1727745519
161,krasnokholm,51.5979,54.1567,10.82,42,0,3.57,RU,1727745520
162,woolgoolga,-30.1106,153.2007,20.93,62,0,5.77,AU,1727745521
163,dahab,28.501,34.5134,27.27,45,0,5.02,EG,1727745522
164,vammala,61.3333,22.9,3.3,84,12,2.2,FI,1727745523
165,sitka,57.0531,-135.33,12.94,54,100,9.26,US,1727745524
166,brak,27.5496,14.2714,25.17,44,0,4.95,LY,1727745525
167,jamestown,42.097,-79.2353,20.01,85,100,1.54,US,1727745526
168,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,71,75,3.0,RU,1727745527
169,black river,18.0264,-77.8487,27.19,79,14,2.11,JM,1727745529
170,mondovi,44.396,7.8176,14.07,79,100,0.66,IT,1727745530
171,galesong,-5.3166,119.3661,29.48,61,43,0.5,ID,1727745531
172,tsiombe,-25.3,45.4833,22.28,59,7,1.98,MG,1727745532
173,galle,6.0367,80.217,27.74,83,25,0.45,LK,1727745533
174,richards bay,-28.783,32.0377,14.04,85,100,4.82,ZA,1727745534
175,severo-yeniseyskiy,60.3725,93.0408,6.26,94,100,5.13,RU,1727745535
176,rio grande city,26.3798,-98.8203,31.78,33,0,4.49,US,1727745536
177,cambria,35.5641,-121.0808,21.51,54,0,1.24,US,1727745538
178,salaberry-de-valleyfield,45.2501,-74.1325,15.95,85,0,3.29,CA,1727745539
179,dwarka,22.2394,68.9678,27.47,81,19,5.02,IN,1727745541
180,ulsteinvik,62.3432,5.8487,12.09,81,100,3.21,NO,1727745542
181,utrik,11.2278,169.8474,27.69,77,100,4.17,MH,1727745543
182,lido di jesolo,45.5069,12.6469,14.97,100,100,2.34,IT,1727745545
183,lompoc,34.6391,-120.4579,26.5,94,1,3.6,US,1727745546
184,sampit,-2.5333,112.95,28.55,74,87,0.68,ID,1727745547
185,taro,-8.3862,115.28,25.74,71,93,1.42,ID,1727745548
186,saipan,15.1355,145.701,32.39,66,40,5.66,MP,1727745549
187,qamdo,31.1667,97.2333,9.17,45,4,0.64,CN,1727745550
188,tual,-5.6667,132.75,27.42,77,98,7.79,ID,1727745552
189,laojunmiao,39.8333,97.7333,6.3,18,0,0.82,CN,1727745553
190,sur,22.5667,59.5289,28.16,69,0,1.9,OM,1727745554
191,ambatondrazaka,-17.8333,48.4167,17.2,84,100,0.38,MG,1727745555
192,hermanus,-34.4187,19.2345,11.47,63,94,2.23,ZA,1727745556
193,camana,-16.6228,-72.7111,16.3,92,100,3.15,PE,1727745557
194,touros,-5.1989,-35.4608,24.64,74,5,7.58,BR,1727745558
195,jutai,-5.1833,-68.9,23.9,78,92,0.69,BR,1727745559
196,dryden,49.7833,-92.7503,13.16,50,100,9.77,CA,1727745560
197,nebraska city,40.6767,-95.8592,24.24,28,0,6.17,US,1727745561
198,anadyr,64.75,177.4833,8.28,81,40,8.0,RU,1727745562
199,punta arenas,-53.15,-70.9167,2.06,93,0,2.57,CL,1727745564
200,hsinchu,24.8036,120.9686,31.85,77,51,0.89,TW,1727745565
201,maintirano,-18.0667,44.0167,23.16,87,0,3.09,MG,1727745566
202,nguigmi,14.2495,13.1092,32.01,32,60,2.62,NE,1727745567
203,kingston,17.997,-76.7936,29.53,79,20,3.6,JM,1727745568
204,sterling,39.0062,-77.4286,18.49,86,100,2.57,US,1727745569
205,westport,41.1415,-73.3579,17.87,81,0,4.12,US,1727745272
206,tofol,5.3248,163.0078,31.88,70,75,3.09,FM,1727745571
207,murray bridge,-35.1167,139.2667,18.74,50,2,4.25,AU,1727745572
208,guasdualito,7.2424,-70.7324,25.09,77,12,1.45,VE,1727745573
209,la junta,37.985,-103.5438,23.16,23,0,8.23,US,1727745574
210,menaka,15.9182,2.4022,32.85,42,3,2.42,ML,1727745576
211,iskateley,67.6803,53.1512,4.27,73,100,12.05,RU,1727745577
212,yellowknife,62.456,-114.3525,3.01,99,75,7.2,CA,1727745507
213,juneau,58.3019,-134.4197,8.0,91,100,2.57,US,1727745387
214,la ferte-mace,48.59,-0.358,10.51,96,100,3.62,FR,1727745580
215,swan hill,-35.3378,143.5544,20.2,39,0,4.83,AU,1727745581
216,cidreira,-30.1811,-50.2056,20.12,87,5,5.8,BR,1727745582
217,zizur mayor,42.7879,-1.6907,13.39,94,0,0.0,ES,1727745583
218,west island,-12.1568,96.8225,25.99,94,100,7.2,CC,1727745584
219,kuala terengganu,5.3302,103.1408,27.97,83,20,2.57,MY,1727745585
220,mournies,35.4764,24.0092,30.04,82,20,0.0,GR,1727745586
221,egilsstadir,65.2653,-14.3948,1.95,87,0,2.57,IS,1727745587
222,kargasok,59.0556,80.8572,9.88,90,100,5.4,RU,1727745589
223,nagqu,31.5,92.0,5.01,49,0,1.12,CN,1727745590
224,eregli,37.5133,34.0467,14.26,66,81,1.71,TR,1727745591
225,port lincoln,-34.7333,135.8667,16.62,64,10,2.14,AU,1727745592
226,wenling,28.3669,121.36,25.14,88,100,2.99,CN,1727745593
227,rio grande,-32.035,-52.0986,19.79,88,100,3.04,BR,1727745594
228,uryupinsk,50.8047,42.0138,12.39,35,0,4.56,RU,1727745595
229,neryungri,56.6709,124.6491,2.22,78,90,1.61,RU,1727745599
230,mogadishu,2.0371,45.3438,25.52,79,97,4.93,SO,1727745600
231,dalhart,36.0595,-102.5133,27.01,28,0,2.06,US,1727745436
232,bayji,34.9311,43.487,26.58,18,0,3.3,IQ,1727745603
233,gurupi,-11.7292,-49.0686,31.82,29,97,2.72,BR,1727745604
234,sianow,54.2265,16.2913,6.36,59,3,4.28,PL,1727745605
235,carutapera,-1.195,-46.02,25.64,80,17,4.27,BR,1727745606
236,bowen,-20.0167,148.2333,24.64,68,0,5.55,AU,1727745607
237,castillos,-34.1667,-53.8333,19.57,99,100,2.31,UY,1727745608
238,balabac,7.9868,117.0645,28.94,73,97,2.11,PH,1727745610
239,lagos,6.5833,3.75,24.06,93,100,1.67,NG,1727745549
240,vorgashor,67.5833,63.95,3.03,71,100,13.77,RU,1727745612
241,ancud,-41.8697,-73.8203,4.3,71,27,4.34,CL,1727745613
242,micheweni,-4.9667,39.8333,24.09,84,100,1.56,TZ,1727745614
243,sao raimundo nonato,-9.0153,-42.6994,26.76,41,100,2.35,BR,1727745615
244,sandnessjoen,66.0217,12.6316,8.98,70,100,14.41,NO,1727745616
245,la gi,10.6667,107.7833,27.81,81,77,2.6,VN,1727745617
246,usogorsk,63.4106,48.6872,3.86,83,100,4.73,RU,1727745618
247,yinchuan,38.4681,106.2731,9.1,24,0,1.07,CN,1727745619
248,mezhdurechensk,53.6942,88.0603,6.86,87,100,1.76,RU,1727745364
249,al burayqah,30.4062,19.5739,23.57,67,46,4.46,LY,1727745622
250,arenapolis,-14.4503,-56.8461,28.68,45,100,3.16,BR,1727745624
251,laascaanood,8.4774,47.3597,22.57,78,40,6.68,SO,1727745625
252,sola,-13.8833,167.55,26.63,74,100,1.57,VU,1727745626
253,siran,40.1894,39.1267,14.29,67,89,0.48,TR,1727745627
254,lethem,3.3803,-59.7968,27.64,69,100,1.02,GY,1727745628
255,port augusta,-32.5,137.7667,19.09,49,0,5.21,AU,1727745629
256,torgelow,53.6333,14.0167,9.09,75,25,1.34,DE,1727745630
257,forbes,-33.3833,148.0167,20.49,32,0,3.69,AU,1727745631
258,canutama,-6.5339,-64.3831,24.75,80,100,0.92,BR,1727745632
259,manfalut,27.3104,30.97,25.09,57,0,4.04,EG,1727745633
260,chonchi,-42.6128,-73.8092,3.95,88,20,1.18,CL,1727745634
261,waajid,3.8096,43.2463,23.19,77,89,6.41,SO,1727745635
262,lushun,38.8,121.2667,17.12,48,0,6.2,CN,1727745637
263,kailua-kona,19.6406,-155.9956,28.98,75,40,4.63,US,1727745638
264,freetown,8.484,-13.2299,25.0,88,94,2.47,SL,1727745639
265,wonju,37.3514,127.9453,18.27,85,100,1.99,KR,1727745640
266,fada,7.25,4.0667,22.41,99,100,1.14,NG,1727745641
267,taltal,-25.4,-70.4833,15.48,79,41,1.76,CL,1727745642
268,illizi,26.4833,8.4667,27.79,28,0,4.52,DZ,1727745643
269,santa cruz,-17.8,-63.1667,29.7,62,9,5.66,BO,1727745644
270,hampton bays,40.869,-72.5176,15.54,85,0,1.54,US,1727745645
271,flying fish cove,-10.4217,105.6791,26.82,89,100,6.69,CX,1727745646
272,praia da vitoria,38.7333,-27.0667,25.14,83,40,4.86,PT,1727745647
273,wangkui,46.8333,126.5,10.21,42,15,2.67,CN,1727745648
274,vikulovo,56.8167,70.6107,8.37,73,53,3.1,RU,1727745650
275,atafu village,-8.5421,-172.5159,28.35,73,27,4.13,TK,1727745651
276,darhan,49.4867,105.9228,1.61,51,98,3.69,MN,1727745652
277,klyuchi,52.2667,79.1667,11.69,50,9,3.14,RU,1727745653
278,soio,-6.1349,12.3689,23.84,88,95,3.87,AO,1727745654
279,cuito,-12.3833,16.9333,16.85,44,53,2.6,AO,1727745655
280,khost,33.3395,69.9204,22.06,33,0,2.88,AF,1727745656
281,greymouth,-42.4667,171.2,13.67,69,100,3.22,NZ,1727745657
282,aripuana,-9.1667,-60.6333,22.55,97,99,1.56,BR,1727745658
283,la huacana,18.9667,-101.8167,24.44,94,94,1.26,MX,1727745659
